what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1431479480881
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1431479482519
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431479486450
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431479487121
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431479487215
error,log,,,"Internal Error",1431479487293
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431479489543
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479490666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479490682
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1431479492913
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431479493037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479510478
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479512771
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479513302
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479528480
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431479536249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479540383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479542442
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1431479550461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479550601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479554424
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431479554440
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431479562587
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1431479562696
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431479563585
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431479564943
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431479565036
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431479568936
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1431479569170
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431479569997
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431479570106
activated,perspective,com.altera.sbtgui.ui,11.0.0.157,"com.altera.sbtgui.ui.cPerspective",1431479585113
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1431479585129
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1431479585129
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1431479585129
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431479588218
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1431479588296
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431479606454
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1431479686904
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431479686982
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431479710647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479713736
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479716934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479716965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431479720849
activated,perspective,com.altera.sbtgui.ui,11.0.0.157,"com.altera.sbtgui.ui.debugPerspective",1431479723944
