what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1472618489447
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1472618490108
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1472618490129
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1472618490190
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1472618490411
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1472618490472
started,bundle,com.altera.sbtgui.integration,11.0.0.157,"com.altera.sbtgui.integration",1472618491079
started,bundle,com.altera.systemconsole,11.0.0.157,"com.altera.systemconsole",1472618491121
started,bundle,com.altera.utilities,11.0.0.157,"com.altera.utilities",1472618491453
started,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1472618493275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472618494677
started,bundle,com.altera.sbtgui.core,11.0.0.157,"com.altera.sbtgui.core",1472618497259
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1472618497309
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1472618497581
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1472618498471
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1472618498696
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1472618498722
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472618500210
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472618503611
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1472618503702
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1472618515383
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1472618515536
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472618520859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472618563131
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1472618595433
error,log,,,"The system console model is invalid. Cannot launch.",1472618608226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472618608261
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472618614618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472618778340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909429222
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909448656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909456983
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1472909462911
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909463232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909467566
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909469084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909473702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909477202
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909595026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909600274
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909641667
