what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1466517919462
java.specification.name,sysinfo,,,"Java Platform API Specification",1466517919462
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1466517919462
java.specification.version,sysinfo,,,"1.6",1466517919462
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1466517919462
java.version,sysinfo,,,"1.6.0_23",1466517919462
java.vm.info,sysinfo,,,"mixed mode",1466517919462
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1466517919462
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1466517919462
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1466517919462
java.vm.specification.version,sysinfo,,,"1.0",1466517919462
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1466517919462
java.vm.version,sysinfo,,,"19.0-b09",1466517919462
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1466517919571
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1466517919753
started,bundle,com.altera.sbtgui.integration,11.0.0.157,"com.altera.sbtgui.integration",1466517919876
started,bundle,com.altera.systemconsole,11.0.0.157,"com.altera.systemconsole",1466517920008
started,bundle,com.altera.utilities,11.0.0.157,"com.altera.utilities",1466517920454
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1466517920492
started,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1466517921410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466517921858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466517923727
started,bundle,com.altera.sbtgui.core,11.0.0.157,"com.altera.sbtgui.core",1466517925783
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1466517925845
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1466517926048
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1466517926872
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1466517927046
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1466517927082
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1466517935829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466517936091
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466517937507
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1466517937531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1466517937532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466517940044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466517941248
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1466517941263
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1466517941263
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466517943138
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466517979457
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1466517979491
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1466517979491
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1466517979741
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1466517979813
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1466517981360
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1466517981976
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466517985901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466518051847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466518057194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466518061702
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1466518061733
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1466518066499
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1466518852455
started,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.157,"com.altera.debug.cdi.gdb.plugin",1466518874997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466518876168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466518899374
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1466518904851
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1466518904852
error,log,,,"Cannot initialize the Nios II Console view for use. Byte stream service may still be open by another process like 'nios2-terminal'.",1466518906577
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466518906735
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1466518910500
